"","k.conf","p.conf","c.conf","o.conf","f.conf","g.conf","s.conf"
"ASV186",58.3720774856376,NA,NA,NA,NA,NA,NA
"ASV187",100,100,100,95.9906625561617,95.9906625561617,95.9906625561617,95.9906625561617
"ASV188",100,100,100,100,100,100,100
"ASV189",81.1557316178003,79.60848627589,79.60848627589,NA,NA,NA,NA
"ASV190",100,100,100,100,100,100,100
"ASV191",93.9416859451273,93.9416859451273,93.9416859451273,93.9416859451273,93.9416859451273,89.8908633963789,89.8908633963789
"ASV192",88.8433317697235,88.8433317697235,88.8433317697235,88.8433317697235,88.8433317697235,NA,NA
"ASV193",98.5611882477973,98.5611882477973,98.5611882477973,98.5611882477973,97.5895792224606,96.5038831778034,71.072493246334
"ASV194",88.5341774001406,88.5341774001406,88.5341774001406,88.5341774001406,84.8861850336974,84.2007016614401,84.2007016614401
"ASV195",39.5911977035286,NA,NA,NA,NA,NA,NA
"ASV196",98.6660380712908,98.6660380712908,98.6660380712908,98.6660380712908,98.6660380712908,96.5676662874065,94.6363928430138
